中文名, 英文名, 日文名, 韓國名
卡齊娜, Kachina, カチーナ, 카치나
賽索斯, Sethos, セトス, 세토스
嘉明, Gaming, 嘉明, 가명
夏沃蕾, Chevreuse, シュヴルーズ, 슈브르즈
夏洛蒂, Charlotte, シャルロット, 샤를로트
菲米尼, Freminet, フレミネ, 프레미네
琳妮特, Lynette, リネット, 리넷
綺良良, Kirara, 綺良々, 키라라
卡維, Kaveh, カーヴェ, 카베
米卡, Mika, ミカ, 미카
瑤瑤, Yaoyao, ヨォーヨ, 요요
琺露珊, Faruzan, ファルザン, 파루잔
萊依拉, Layla, レイラ, 레일라
坎蒂絲, Candace, キャンディス, 캔디스
多莉, Dori, ドリー, 도리
柯萊, Collei, コレイ, 콜레이
鹿野院平藏, Shikanoin Heizou, 鹿野院平蔵, 시카노인 헤이조
久岐忍, Kuki Shinobu, 久岐忍, 쿠키 시노부
雲堇, Yun Jin, 雲菫, 운근
五郎, Gorou, ゴロー, 고로
托馬, Thoma, トーマ, 토마
九條裟羅, (Kujou) Sara, 九条裟羅, 쿠죠 사라
早柚, Sayu, 早柚, 사유
煙緋, Yanfei, 煙緋, 연비
辛焱, Xinyan, 辛炎, 신염
行秋, Xingqiu, 行秋, 행추
重雲, Chongyun, 重雲, 중운
北斗, Beidou, 北斗, 북두
凝光, Ningguang, 凝光, 응광
香菱, Xiangling, 香菱, 향릉
羅莎莉亞, Rosaria, ロサリア, 로자리아
迪奧娜, Diona, ディオナ, 디오나
雷澤, Razor, レザー, 레이저
砂糖, Sucrose, スクロース, 설탕
菲謝爾, Fischl, フィッシュル, 피슬
班尼特, Bennett, ベネット, 베넷
芭芭拉, Barbara, バーバラ, 바바라
諾艾爾, Noelle, ノエル, 노엘
凱亞, Kaeya, ガイア, 케이아
麗莎, Lisa, リサ, 리사
安柏, Amber, アンバー, 엠버
